x_px,y_px
7.440528564453125000e+02,5.034155273437500000e+02
7.469515380859375000e+02,5.039735107421875000e+02
7.498504638671875000e+02,5.045300292968750000e+02
7.527496948242187500e+02,5.050851440429687500e+02
7.556491699218750000e+02,5.056387939453125000e+02
7.585488891601562500e+02,5.061909790039062500e+02
7.614489135742187500e+02,5.067416381835937500e+02
7.643491821289062500e+02,5.072907714843750000e+02
7.672496948242187500e+02,5.078384399414062500e+02
7.701505737304687500e+02,5.083845214843750000e+02
7.730516967773437500e+02,5.089290161132812500e+02
7.759531250000000000e+02,5.094719848632812500e+02
7.788548583984375000e+02,5.100133056640625000e+02
7.817568969726562500e+02,5.105530395507812500e+02
7.846592407226562500e+02,5.110911254882812500e+02
7.875619506835937500e+02,5.116275634765625000e+02
7.904649658203125000e+02,5.121622924804687500e+02
7.933682861328125000e+02,5.126953735351562500e+02
7.962719116210937500e+02,5.132267456054687500e+02
7.991759033203125000e+02,5.137563476562500000e+02
8.020802612304687500e+02,5.142842407226562500e+02
8.049849853515625000e+02,5.148103637695312500e+02
8.078900146484375000e+02,5.153347778320312500e+02
8.107954101562500000e+02,5.158572998046875000e+02
8.137011718750000000e+02,5.163778686523437500e+02
8.166073608398437500e+02,5.168963623046875000e+02
8.195139160156250000e+02,5.174125976562500000e+02
8.224208984375000000e+02,5.179264526367187500e+02
8.253282470703125000e+02,5.184378051757812500e+02
8.282360839843750000e+02,5.189464721679687500e+02
8.311443481445312500e+02,5.194523315429687500e+02
8.340530395507812500e+02,5.199552612304687500e+02
8.369622192382812500e+02,5.204550781250000000e+02
8.398718872070312500e+02,5.209516601562500000e+02
8.427820434570312500e+02,5.214448242187500000e+02
8.456926879882812500e+02,5.219345092773437500e+02
8.486038818359375000e+02,5.224205322265625000e+02
8.515155639648437500e+02,5.229027709960937500e+02
8.544277343750000000e+02,5.233810424804687500e+02
8.573405151367187500e+02,5.238552246093750000e+02
8.602538452148437500e+02,5.243251953125000000e+02
8.631677856445312500e+02,5.247907714843750000e+02
8.660822753906250000e+02,5.252518310546875000e+02
8.689973144531250000e+02,5.257081909179687500e+02
8.719130249023437500e+02,5.261597900390625000e+02
8.748292846679687500e+02,5.266064453125000000e+02
8.777462158203125000e+02,5.270480346679687500e+02
8.806638183593750000e+02,5.274843750000000000e+02
8.835820312500000000e+02,5.279153442382812500e+02
8.865009155273437500e+02,5.283407592773437500e+02
8.894205322265625000e+02,5.287605590820312500e+02
8.923407592773437500e+02,5.291745605468750000e+02
8.952617187500000000e+02,5.295826416015625000e+02
8.981834106445312500e+02,5.299846191406250000e+02
9.011057739257812500e+02,5.303803100585937500e+02
9.040289306640625000e+02,5.307697143554687500e+02
9.069528198242187500e+02,5.311525878906250000e+02
9.098774414062500000e+02,5.315288085937500000e+02
9.128028564453125000e+02,5.318981933593750000e+02
9.157290649414062500e+02,5.322606811523437500e+02
9.186560058593750000e+02,5.326160888671875000e+02
9.215838012695312500e+02,5.329642944335937500e+02
9.245123901367187500e+02,5.333051147460937500e+02
9.274418334960937500e+02,5.336384277343750000e+02
9.303721313476562500e+02,5.339640502929687500e+02
9.333032226562500000e+02,5.342819213867187500e+02
9.362352294921875000e+02,5.345918579101562500e+02
9.391680908203125000e+02,5.348937377929687500e+02
9.421018676757812500e+02,5.351873168945312500e+02
9.450364990234375000e+02,5.354725952148437500e+02
9.479721069335937500e+02,5.357493896484375000e+02
9.509085693359375000e+02,5.360175170898437500e+02
9.538460083007812500e+02,5.362768554687500000e+02
9.567843627929687500e+02,5.365272216796875000e+02
9.597236938476562500e+02,5.367685546875000000e+02
9.626640014648437500e+02,5.370006713867187500e+02
9.656052856445312500e+02,5.372234497070312500e+02
9.685475463867187500e+02,5.374367065429687500e+02
9.714908447265625000e+02,5.376402587890625000e+02
9.744351196289062500e+02,5.378341064453125000e+02
9.773804321289062500e+02,5.380180053710937500e+02
