s_m,x_m,y_m,kappa
9.251672800737820168e+00,-6.058957667022349369e+01,5.373435464116085569e+01,-1.821478439613946967e-02
9.422773393754249938e+00,-6.041884822854219550e+01,5.372307580559819939e+01,-1.847843723887880249e-02
9.593854033453348862e+00,-6.024818122457249814e+01,5.371118635498599048e+01,-1.872870665400598600e-02
9.764915062063369788e+00,-6.007756740719200650e+01,5.369882509178295038e+01,-1.897143658581392986e-02
9.935953472526682262e+00,-5.990702284685310275e+01,5.368583698981898067e+01,-1.920353334382571969e-02
1.010697339163282571e+01,-5.973653426663102550e+01,5.367236640167546113e+01,-1.945984199836622852e-02
1.027797372262429398e+01,-5.956611730116071612e+01,5.365825360326115145e+01,-1.971653007061338961e-02
1.044895329187711575e+01,-5.939576295121119642e+01,5.364364509357820054e+01,-1.995255984399404645e-02
1.061991657907158526e+01,-5.922548261591287400e+01,5.362837902076854135e+01,-2.019034214444326292e-02
1.079085919423119577e+01,-5.905526922977089299e+01,5.361260623231223832e+01,-2.044016481639771357e-02
1.096178528074299940e+01,-5.888513613189024909e+01,5.359616068410684875e+01,-2.069650823584303495e-02
1.113269444651243312e+01,-5.871507104471264427e+01,5.357919574770033222e+01,-2.082979994202032240e-02
1.130358762855736998e+01,-5.854509214826898500e+01,5.356154201061042386e+01,-2.067186451705660052e-02
1.147446626022685123e+01,-5.837518243746738733e+01,5.354337068879412698e+01,-2.033399084223391773e-02
1.164533483043099693e+01,-5.820535601754806265e+01,5.352452777551102514e+01,-2.000205314594743350e-02
1.181619264211386877e+01,-5.803559609843127021e+01,5.350518968681229381e+01,-1.964481155057644021e-02
1.198704376552485762e+01,-5.786591880141452293e+01,5.348519665682963620e+01,-1.925424217218115949e-02
1.215788708446567767e+01,-5.769630538793530405e+01,5.346473377348826972e+01,-1.892172088757181417e-02
1.232872862857941243e+01,-5.752677154497549594e+01,5.344363616020040553e+01,-1.855318762777311697e-02
1.249956884036634186e+01,-5.735729588440189275e+01,5.342208671852448987e+01,-1.815721812417810457e-02
