x_m,y_m
-5.803559487452692878e+01,5.350520024992360391e+01
-5.786591223414606588e+01,5.348525173674001110e+01
-5.769630388331599136e+01,5.346474605192555885e+01
-5.752676451564020965e+01,5.344369203947438507e+01
-5.735729413111872788e+01,5.342210031217946664e+01
-5.718789272975153892e+01,5.339998502043141571e+01
-5.701855854273982516e+01,5.337735147062672070e+01
-5.684928980128474052e+01,5.335421558195484693e+01
-5.668008473658747448e+01,5.333058442961110757e+01
-5.651094157984919519e+01,5.330647039518727581e+01
-5.634186209986872740e+01,5.328188232267750379e+01
-5.617284099024958266e+01,5.325683259367360733e+01
-5.600388178858943178e+01,5.323133182096852067e+01
-5.583497565089412262e+01,5.320538884855641015e+01
-5.566612965235896127e+01,5.317901605802906317e+01
-5.549733671778864874e+01,5.315222406217945661e+01
-5.532859684718317794e+01,5.312502170500172838e+01
-5.515991004054255598e+01,5.309742136808766588e+01
-5.499127629786677574e+01,5.306943366423024599e+01
-5.482268854396052404e+01,5.304106743742360663e+01
-5.465415031642146459e+01,5.301233506925953520e+01
-5.448566161524958318e+01,5.298324540373219804e+01
-5.431721536524958793e+01,5.295381259123219309e+01
-5.414881510401912124e+01,5.292404370695484772e+01
-5.398045729396052650e+01,5.289395113249196356e+01
-5.381214193507380372e+01,5.286354371183766432e+01
-5.364386902735896001e+01,5.283283382658375160e+01
-5.347563149562067508e+01,5.280183208952321650e+01
-5.330743287745661974e+01,5.277054734465016850e+01
-5.313927317286677265e+01,5.273899374235524817e+01
-5.297114530665583487e+01,5.270717835783375449e+01
-5.280305281642146298e+01,5.267511180387867853e+01
-5.263499216456599328e+01,5.264280823088063244e+01
-5.246696688868708947e+01,5.261027471403492939e+01
-5.229896637599177467e+01,5.257752363493337100e+01
-5.213099770167536917e+01,5.254456383757008098e+01
-5.196305379054255269e+01,5.251140947233571410e+01
-5.179513464259333944e+01,5.247806761442555512e+01
-5.162724379542536468e+01,5.244455064543141987e+01
-5.145937417384333656e+01,5.241086917814625679e+01
-5.129152931544489746e+01,5.237703205656423222e+01
-5.112370214503474131e+01,5.234305166227711936e+01
-5.095589266261286809e+01,5.230893860807789508e+01
-5.078810440577692731e+01,5.227470350675953625e+01
-5.062033383692927657e+01,5.224035697111500554e+01
-5.045257741847224509e+01,5.220590784513844085e+01
-5.028483515040583995e+01,5.217136851042164380e+01
-5.011710349513239748e+01,5.213674957975759128e+01
-4.994938599024958847e+01,5.210206166593923172e+01
-4.978167556056208554e+01,5.206731361296070304e+01
-4.961397574366755236e+01,5.203251957121266003e+01
-4.944628653956599607e+01,5.199768661589040164e+01
-4.927860087306208925e+01,5.196282712858571529e+01
-4.911091874415583902e+01,5.192795172209156362e+01
-4.894324015284724538e+01,5.189306924040211300e+01
-4.877556509913630833e+01,5.185819383390797555e+01
-4.860789004542537128e+01,5.182333257780446445e+01
-4.844021499171442713e+01,5.178849785368336711e+01
-4.827253993800349008e+01,5.175370027433766040e+01
-4.810486134669489644e+01,5.171894337736500802e+01
-4.793717921778864621e+01,5.168422893156422049e+01
-4.776949355128474650e+01,5.164955870573415098e+01
-4.760180788478083969e+01,5.161493269987477106e+01
-4.743411514308161969e+01,5.158035268278493390e+01
-4.726641886378474311e+01,5.154581865446461109e+01
-4.709871904689020994e+01,5.151133238371266998e+01
-4.693101569239802728e+01,5.147689387052906795e+01
-4.676330880030818093e+01,5.144250665251149712e+01
-4.659559483302302141e+01,5.140816896086110432e+01
-4.642787379054255581e+01,5.137388256437672851e+01
-4.626014921046443362e+01,5.133964923185719442e+01
-4.609241755519099115e+01,5.130547073210134101e+01
-4.592467882472224261e+01,5.127134529631031512e+01
-4.575693655665583748e+01,5.123727646208180886e+01
-4.558918367579646258e+01,5.120326422941579381e+01
-4.542142725733943109e+01,5.116931036711109471e+01
-4.525366022608942984e+01,5.113541664396656472e+01
-4.508588611964411541e+01,5.110158129118336490e+01
-4.491810493800349491e+01,5.106780607756031998e+01
-4.475031314356989753e+01,5.103409454069507944e+01
-4.458251427394099409e+01,5.100044491178883277e+01
-4.441470479151912087e+01,5.096685895964039048e+01
-4.424688823390192738e+01,5.093333845304860574e+01
-4.407906106349177122e+01,5.089988516081227488e+01
-4.391122328028865240e+01,5.086649731413258735e+01
-4.374337842189021330e+01,5.083317845060719264e+01
-4.357551941310114785e+01,5.079993033903492972e+01
-4.340764979151911973e+01,5.076674767301931013e+01
-4.323976955714411474e+01,5.073363929655445759e+01
-4.307187870997614709e+01,5.070060520964040052e+01
-4.290397371241755309e+01,5.066764187467946101e+01
-4.273605810206599642e+01,5.063475282926930277e+01
